bike_model_id,model_name_check,model_slug,task,frame_code,year_range,oem_part_no,recommended_part_no,compatibles,spec,source_1_name,source_1_url,source_2_name,source_2_url,verified_at,note
459,スーパーカブ50,super-cub-50,battery,JBH-AA01,2024/12〜,,YTX4L-BS,台湾ユアサ:YTX4L-BS|古河電池:FTX4L-BS,voltage=12V;capacity=3Ah;type=VRLA,GSユアサ バイク用バッテリー適合検索,https://gyb.gs-yuasa.com/fit/bike/search/,,,2026-07-06,50周年スペシャル(キック)
459,スーパーカブ50,super-cub-50,battery,2BH-AA06/2BH-AA09,2018/02〜,,GTZ4V,台湾ユアサ:YTZ4V|古河電池:FTZ4V,voltage=12V;capacity=3Ah;type=VRLA,GSユアサ バイク用バッテリー適合検索,https://gyb.gs-yuasa.com/fit/bike/search/,,,2026-07-06,クロスカブ50と共通
459,スーパーカブ50,super-cub-50,battery,JBH-AA04,2012/05〜,,YTX4L-BS,台湾ユアサ:YTX4L-BS|古河電池:FTX4L-BS,voltage=12V;capacity=3Ah;type=VRLA,GSユアサ バイク用バッテリー適合検索,https://gyb.gs-yuasa.com/fit/bike/search/,,,2026-07-06,プロ含む
459,スーパーカブ50,super-cub-50,battery,JBH-AA01,2007/09〜,,YT4L-BS,台湾ユアサ:YT4L-BS|古河電池:FT4L-BS,voltage=12V;capacity=3Ah;type=VRLA,GSユアサ バイク用バッテリー適合検索,https://gyb.gs-yuasa.com/fit/bike/search/,,,2026-07-06,プレスカブ/リトルカブ共通
587,リトルカブ,little-cub,battery,JBH-AA01,2007/09〜,,YT4L-BS,台湾ユアサ:YT4L-BS|古河電池:FT4L-BS,voltage=12V;capacity=3Ah;type=VRLA,GSユアサ バイク用バッテリー適合検索,https://gyb.gs-yuasa.com/fit/bike/search/,,,2026-07-06,50周年スペシャルはYTX4L-BS。スーパーカブ50と型式共通
439,ジョルノ,giorno,battery,JBH-AF77/2BH-AF77,2015/10〜,,YTZ6V,台湾ユアサ:YTZ6V|古河電池:FTZ6V,voltage=12V;capacity=5Ah;type=VRLA,GSユアサ バイク用バッテリー適合検索,https://gyb.gs-yuasa.com/fit/bike/search/,,,2026-07-06,ジョルノスペシャル含む
439,ジョルノ,giorno,battery,JBH-AF70,2010/12〜,,YTX4L-BS,台湾ユアサ:YTX4L-BS|古河電池:FTX4L-BS,voltage=12V;capacity=3Ah;type=VRLA,GSユアサ バイク用バッテリー適合検索,https://gyb.gs-yuasa.com/fit/bike/search/,,,2026-07-06,
505,トゥデイ,today,battery,JBH-AF67,2007/08〜,,YTX4L-BS,台湾ユアサ:YTX4L-BS|古河電池:FTX4L-BS,voltage=12V;capacity=3Ah;type=VRLA,GSユアサ バイク用バッテリー適合検索,https://gyb.gs-yuasa.com/fit/bike/search/,,,2026-07-06,TODAY F含む
479,ズーマー,zoomer,battery,JBH-AF58,2007/10〜,,YTZ7S,台湾ユアサ:YTZ7S|古河電池:FTZ7S,voltage=12V;capacity=6Ah;type=VRLA,GSユアサ バイク用バッテリー適合検索,https://gyb.gs-yuasa.com/fit/bike/search/,,,2026-07-06,デラックス含む
194,dio,dio,battery,JBH-AF68,2007/10〜,,YTX4L-BS,台湾ユアサ:YTX4L-BS|古河電池:FTX4L-BS,voltage=12V;capacity=3Ah;type=VRLA,GSユアサ バイク用バッテリー適合検索,https://gyb.gs-yuasa.com/fit/bike/search/,,,2026-07-06,Dioチェスタ含む
194,dio,dio,battery,BA-AF62,2003/10〜,,YTX4L-BS,台湾ユアサ:YTX4L-BS|古河電池:FTX4L-BS,voltage=12V;capacity=3Ah;type=VRLA,GSユアサ バイク用バッテリー適合検索,https://gyb.gs-yuasa.com/fit/bike/search/,,,2026-07-06,Dioチェスタ含む
3411,タクトベーシック,tact-basic,battery,2BH-AF79,2021/11〜,,YTZ6V,台湾ユアサ:YTZ6V|古河電池:FTZ6V,voltage=12V;capacity=5Ah;type=VRLA,GSユアサ バイク用バッテリー適合検索,https://gyb.gs-yuasa.com/fit/bike/search/,,,2026-07-06,標準タクト。ベーシックはGTZ5S。現車確認推奨
3411,タクトベーシック,tact-basic,battery,JBH-AF75,2015/01〜,,GTZ5S,台湾ユアサ:YTZ5S|古河電池:FTZ5S,voltage=12V;capacity=3.5Ah;type=VRLA,GSユアサ バイク用バッテリー適合検索,https://gyb.gs-yuasa.com/fit/bike/search/,,,2026-07-06,ベーシック系はGTZ5S/標準タクトはYTZ6V。現車確認推奨
504,ダンク,dunk,battery,JBH-AF74/2BH-AF78,2014/02〜,,YTZ6V,台湾ユアサ:YTZ6V|古河電池:FTZ6V,voltage=12V;capacity=5Ah;type=VRLA,GSユアサ バイク用バッテリー適合検索,https://gyb.gs-yuasa.com/fit/bike/search/,,,2026-07-06,
566,モンキー,monkey,battery,JBH-AB27,2016/01〜,,YTR4A-BS,台湾ユアサ:YTR4A-BS|古河電池:FTR4A-BS,voltage=12V;capacity=2.3Ah;type=VRLA,GSユアサ バイク用バッテリー適合検索,https://gyb.gs-yuasa.com/fit/bike/search/,,,2026-07-06,リミテッド含む。2017年生産終了
566,モンキー,monkey,battery,BA-AB27,2005/12〜,,YTR4A-BS,台湾ユアサ:YTR4A-BS|古河電池:FTR4A-BS,voltage=12V;capacity=2.3Ah;type=VRLA,GSユアサ バイク用バッテリー適合検索,https://gyb.gs-yuasa.com/fit/bike/search/,,,2026-07-06,
1238,jog,jog,battery,2BH-AY01,2023/03〜,,GTZ5S,台湾ユアサ:YTZ5S|古河電池:FTZ5S,voltage=12V;capacity=3.5Ah;type=VRLA,GSユアサ バイク用バッテリー適合検索,https://gyb.gs-yuasa.com/fit/bike/search/,,,2026-07-06,無印はGTZ5S/デラックスはYTZ6V。現車確認推奨
