bike_model_id,model_name_check,model_slug,task,frame_code,year_range,oem_part_no,recommended_part_no,compatibles,spec,source_1_name,source_1_url,source_2_name,source_2_url,verified_at,note
459,スーパーカブ50,super-cub-50,plug,AA09,2017/11〜,,CPR6EA-9S,,heat=6;plugs=1,NGK 適合表,https://www.ngk-sparkplugs.jp/,,,2026-07-07,FI車
459,スーパーカブ50,super-cub-50,plug,AA04,2012/05〜2017/10,,CPR6EA-9,,heat=6;plugs=1,NGK 適合表,https://www.ngk-sparkplugs.jp/,,,2026-07-07,
459,スーパーカブ50,super-cub-50,plug,AA01,2007/09〜2012/04,,CR6HSA,,heat=6;plugs=1,NGK 適合表,https://www.ngk-sparkplugs.jp/,,,2026-07-07,
587,リトルカブ,little-cub,plug,AA01,2009/08〜,,CR6HSA,,heat=6;plugs=1,NGK 適合表,https://www.ngk-sparkplugs.jp/,,,2026-07-07,
439,ジョルノ,giorno,plug,AF77,2017/12〜,,CPR6EA-9S,,heat=6;plugs=1,NGK 適合表,https://www.ngk-sparkplugs.jp/,,,2026-07-07,
439,ジョルノ,giorno,plug,AF70,2011/11〜2017/11,,CPR6EA-9,,heat=6;plugs=1,NGK 適合表,https://www.ngk-sparkplugs.jp/,,,2026-07-07,
505,トゥデイ,today,plug,AF67,2007/08〜,,CR6HSA,,heat=6;plugs=1,NGK 適合表,https://www.ngk-sparkplugs.jp/,,,2026-07-07,F含む
479,ズーマー,zoomer,plug,AF58,2007/10〜,,CR6HSA,NGK MotoDX:CR6HDX-S,heat=6;plugs=1,NGK 適合表,https://www.ngk-sparkplugs.jp/,,,2026-07-07,
194,dio,dio,plug,AF68,2007/10〜,,CR6HSA,,heat=6;plugs=1,NGK 適合表,https://www.ngk-sparkplugs.jp/,,,2026-07-07,
194,dio,dio,plug,AF62,2003/10〜2007/09,,CR6HSA,,heat=6;plugs=1,NGK 適合表,https://www.ngk-sparkplugs.jp/,,,2026-07-07,
3411,タクトベーシック,tact-basic,plug,AF79,2021/11〜,,CPR6EA-9S,,heat=6;plugs=1,NGK 適合表,https://www.ngk-sparkplugs.jp/,,,2026-07-07,
3411,タクトベーシック,tact-basic,plug,AF75,2015/01〜2021/10,,CPR6EA-9,,heat=6;plugs=1,NGK 適合表,https://www.ngk-sparkplugs.jp/,,,2026-07-07,
504,ダンク,dunk,plug,AF74,2014/02〜,,CPR6EA-9,,heat=6;plugs=1,NGK 適合表,https://www.ngk-sparkplugs.jp/,,,2026-07-07,
566,モンキー,monkey,plug,AB27,2009/08〜,,CR6HSA,NGK MotoDX:CR6HDX-S,heat=6;plugs=1,NGK 適合表,https://www.ngk-sparkplugs.jp/,,,2026-07-07,2017年生産終了
1238,jog,jog,plug,AY01,2023/03〜,,CR6HSA,,heat=6;plugs=1,NGK 適合表,https://www.ngk-sparkplugs.jp/,,,2026-07-07,
1238,jog,jog,plug,SA36J/SA39J/SA57J,2007/10〜,,CR6HSA,NGK MotoDX:CR6HDX-S,heat=6;plugs=1,NGK 適合表,https://www.ngk-sparkplugs.jp/,,,2026-07-07,
1496,ビーノ,vino,plug,AY02,2019/02〜,,CR6HSA,,heat=6;plugs=1,NGK 適合表,https://www.ngk-sparkplugs.jp/,,,2026-07-07,
1496,ビーノ,vino,plug,SA37J/SA59J,2007/02〜,,CR6HSA,NGK MotoDX:CR6HDX-S,heat=6;plugs=1,NGK 適合表,https://www.ngk-sparkplugs.jp/,,,2026-07-07,
1225,gear,gear,plug,UA06J/UA07J/UA08J,2007/10〜,,CR6HSA,NGK MotoDX:CR6HDX-S,heat=6;plugs=1,NGK 適合表,https://www.ngk-sparkplugs.jp/,,,2026-07-07,
451,スーパーカブ110,super-cub-110,plug,JA59/JA61,2022/04〜,,CPR6EA-9S,,heat=6;plugs=1,NGK 適合表,https://www.ngk-sparkplugs.jp/,,,2026-07-07,
451,スーパーカブ110,super-cub-110,plug,JA07/JA10,2009/06〜2022/03,,CPR6EA-9,,heat=6;plugs=1,NGK 適合表,https://www.ngk-sparkplugs.jp/,,,2026-07-07,
