station_code,current_name,official_name
01002,道の駅スタープラザ芦別,道の駅スタープラザ 芦別
01020,道の駅よってけ!島牧,道の駅よってけ！島牧
01035,道の駅オスコイ!かもえない,道の駅オスコイ！かもえない
01039,道の駅そうべつ情報館i(アイ),道の駅そうべつ情報館i（アイ）
01087,道と川の駅花ロードえにわ,道の駅花ロードえにわ
01106,道の駅北前船_松前,道の駅北前船 松前
01116,道の駅みそぎの郷_きこない,道の駅みそぎの郷 きこない
01118,道の駅ノンキーランド_ひがしもこと,道の駅ノンキーランド ひがしもこと
01119,道の駅北欧の風_道の駅とうべつ,道の駅北欧の風 道の駅とうべつ
02013,道の駅なんごう_(青森県),道の駅なんごう
03004,道の駅おおの_(岩手県),道の駅おおの
04008,あ・ら・伊達な道の駅,道の駅あ・ら・伊達な道の駅
07027,道の駅あいづ_湯川・会津坂下,道の駅あいづ 湯川・会津坂下
07030,道の駅国見_あつかしの郷,道の駅国見 あつかしの郷
08004,道の駅さかい_(茨城県),道の駅さかい
08010,道の駅まくらがの里こが,道の駅まくらがの里 こが
09009,道の駅どまんなか_たぬま,道の駅どまんなか たぬま
09010,道の駅はが_(栃木県),道の駅はが
09021,道の駅うつのみや_ろまんちっく村,道の駅うつのみや ろまんちっく村
11014,道の駅果樹公園_あしがくぼ,道の駅果樹公園あしがくぼ
11015,道の駅いちごの里_よしみ,道の駅いちごの里 よしみ
12018,むつざわスマートウェルネスタウン・道の駅・つどいの郷,道の駅むつざわスマートウェルネスタウン・道の駅・つどいの郷
12023,道の駅和田浦WA・O!,道の駅和田浦 WA・O！
12028,道の駅木更津_うまくたの里,道の駅木更津 うまくたの里
15007,道の駅みかわ_(新潟県),道の駅みかわ
15012,道の駅越後出雲崎天領の里,道の駅越後出雲崎 天領の里
15015,道の駅良寛の里わしま,道の駅良寛の里 わしま
15028,道の駅雪のふるさとやすづか,道の駅雪のふるさと やすづか
15039,道の駅庭園の郷保内,道の駅庭園の郷 保内
16013,道の駅万葉の里_高岡,道の駅万葉の里 高岡
17014,道の駅倶利伽羅_源平の郷,道の駅倶利伽羅 源平の郷
17015,道の駅山中温泉_ゆけむり健康村,道の駅山中温泉 ゆけむり健康村
18003,道の駅パークイン丹生ケ丘,道の駅パークイン丹生ヶ丘
18007,道の駅さかい_(福井県),道の駅さかい
18011,西山公園_(鯖江市),道の駅西山公園
20012,道の駅アルプス安曇野ほりがねの里,道の駅アルプス安曇野 ほりがねの里
20016,道の駅上田道と川の駅,道の駅上田 道と川の駅
20024,道の駅花の駅_千曲川,道の駅花の駅 千曲川
20039,道の駅今井_恵みの里,道の駅今井 恵みの里
20041,道の駅木曽川源流の里_きそむら,道の駅木曽川源流の里 きそむら
20042,道の駅FARMUS木島平,道の駅FARMUS 木島平
20048,道の駅南信州_うるぎ,道の駅南信州 うるぎ
21009,道の駅ロック・ガーデンひちそう,道の駅ロック・ガーデン ひちそう
21010,道の駅星のふる里ふじはし,道の駅星のふる里 ふじはし
21024,道の駅馬瀬_美輝の里,道の駅馬瀬 美輝の里
21025,道の駅飛騨街道なぎさ,道の駅飛騨街道 なぎさ
21027,道の駅そばの郷らっせぃみさと,道の駅そばの郷 らっせぃみさと
21028,道の駅織部の里もとす,道の駅織部の里・もとす
21031,道の駅桜の郷_荘川,道の駅桜の郷 荘川
21035,道の駅茶の里_東白川,道の駅茶の里東白川
21040,道の駅夜叉ケ池の里さかうち,道の駅夜叉ヶ池の里さかうち
21043,道の駅月見の里_南濃,道の駅月見の里 南濃
21051,道の駅半布里の郷_とみか,道の駅半布里の郷 とみか
22013,道の駅天竜相津花桃の里,道の駅天竜相津 花桃の里
22020,道の駅下賀茂温泉_湯の花,道の駅下賀茂温泉 湯の花
22022,道の駅風のマルシェ_御前崎,道の駅風のマルシェ 御前崎
23006,道の駅どんぐりの里いなぶ,道の駅どんぐりの里 いなぶ
25015,道の駅塩津海道_あぢかまの里,道の駅塩津海道あぢかまの里
25018,道の駅奥永源寺渓流の里,道の駅奥永源寺 渓流の里
26002,道の駅舟屋の里_伊根,道の駅舟屋の里伊根
26003,道の駅シルクのまち_かや,道の駅シルクのまち かや
26017,京丹波パーキングエリア#道の駅京丹波_味夢の里,道の駅京丹波 味夢の里
26018,道の駅海の京都_宮津,道の駅海の京都 宮津
26019,道の駅お茶の京都みなみやましろ村,道の駅お茶の京都 みなみやましろ村
28001,道の駅はが_(兵庫県),道の駅はが
28020,道の駅あゆの里矢田川,道の駅あゆの里 矢田川
29001,道の駅吉野路_大塔,道の駅吉野路 大塔
29002,道の駅吉野路_上北山,道の駅吉野路 上北山
29003,道の駅杉の湯_川上,道の駅杉の湯 川上
29004,道の駅吉野路_黒滝,道の駅吉野路 黒滝
29006,道の駅宇陀路_大宇陀,道の駅宇陀路大宇陀
29011,道の駅吉野路_大淀iセンター,道の駅吉野路 大淀iセンター
29012,道の駅伊勢本街道_御杖,道の駅伊勢本街道 御杖
29014,道の駅レスティ_唐古・鍵,道の駅レスティ唐古・鍵
30002,道の駅San_Pin_中津,道の駅San Pin 中津
30011,道の駅瀞峡街道_熊野川,道の駅瀞峡街道熊野川
30015,道の駅水の郷日高川_龍游,道の駅水の郷日高川 龍游
31008,道の駅神話の里_白うさぎ,道の駅神話の里 白うさぎ
31009,道の駅清流茶屋_かわはら,道の駅清流茶屋 かわはら
33002,道の駅がいせん桜_新庄宿,道の駅がいせん桜 新庄宿
33005,みやま公園,道の駅みやま公園
35016,道の駅うり坊の郷_katamata,道の駅うり坊の郷katamata
35018,道の駅きらら_あじす,道の駅きらら あじす
35020,道の駅北浦街道_豊北,道の駅北浦街道 豊北
37012,道の駅恋人の聖地_うたづ臨海公園,道の駅恋人の聖地 うたづ臨海公園
38002,マイントピア別子,道の駅マイントピア別子
38017,道の駅みかわ_(愛媛県),道の駅みかわ
38023,道の駅うわじまきさいや広場,道の駅うわじま きさいや広場
42010,道の駅させぼっくす99,道の駅させぼっくす 99
43017,道の駅子守唄の里五木,道の駅子守唄の里 五木
43022,そよ風パーク,道の駅そよ風パーク
43027,あそ望の郷くぎの,道の駅あそ望の郷くぎの
43029,道の駅すいかの里_植木,道の駅すいかの里植木
44019,道の駅おおの_(大分県),道の駅おおの
44021,道の駅童話の里_くす,道の駅童話の里 くす
44024,道の駅慈恩の滝_くす,道の駅慈恩の滝 くす
45011,道の駅なんごう_(宮崎県),道の駅なんごう
