station_code,prefecture,name,official_name,city,registration_no,designated_year,website_url,latitude,longitude
01123,北海道,道の駅ほっと♡はぼろ,ほっと♡はぼろ,苫前郡羽幌町,第14回,1998,http://www.hokkaido-michinoeki.jp/michinoeki/1747/,,
01124,北海道,道の駅つど～る・プラザ・さわら,つど～る・プラザ・さわら,茅部郡森町,第15回,1999,http://www.hokkaido-michinoeki.jp/michinoeki/2200/,,
01125,北海道,道の駅縄文ロマン 南かやべ,縄文ロマン　南かやべ,函館市,第36回,2011,http://www.hokkaido-michinoeki.jp/michinoeki/3114/,,
01126,北海道,道の駅あびら D51ステーション,あびら D51ステーション,勇払郡安平町,第50回,2019,http://www.hokkaido-michinoeki.jp/michinoeki/19505/,,
01127,北海道,道の駅北オホーツクはまとんべつ,北オホーツクはまとんべつ,枝幸郡浜頓別町,第50回,2019,http://www.hokkaido-michinoeki.jp/michinoeki/19522/,,
01128,北海道,道の駅遠軽 森のオホーツク,遠軽 森のオホーツク,紋別郡遠軽町,第51回,2019,http://www.hokkaido-michinoeki.jp/michinoeki/22139/,,
01129,北海道,道の駅かみしほろ,かみしほろ,河東郡上士幌町,第52回,2020,http://www.hokkaido-michinoeki.jp/michinoeki/23227/,,
01130,北海道,道の駅るもい,るもい,留萌市,第52回,2020,http://www.hokkaido-michinoeki.jp/michinoeki/23225/,,
01131,北海道,道の駅ガーデンスパ十勝川温泉,ガーデンスパ十勝川温泉,河東郡音更町,第53回,2020,http://www.hokkaido-michinoeki.jp/michinoeki/26870/,,
01132,北海道,道の駅羊のまち 侍・しべつ,羊のまち 侍・しべつ,士別市,第54回,2021,https://hokkaido-michinoeki.jp/michinoeki/33477/,,
01133,北海道,道の駅２７５つきがた,２７５つきがた,樺戸郡月形町,第61回,2024,https://hokkaido-michinoeki.jp/michinoeki/53300/,,
01134,北海道,道の駅ふるびらたらこミュージアム,ふるびらたらこミュージアム,古平郡古平町,第62回,2025,https://hokkaido-michinoeki.jp/michinoeki/55776/,,
03034,岩手県,道の駅はなまき西南,はなまき西南,花巻市,第52回,2020,https://www.michi-no-eki.jp/stations/views/19944,,
03035,岩手県,道の駅青の国ふだい,青の国ふだい,下閉伊郡普代村,第54回,2021,https://www.michi-no-eki.jp/stations/views/19963,,
03036,岩手県,道の駅いわて北三陸,いわて北三陸,久慈市,第57回,2022,https://www.michi-no-eki.jp/stations/views/21974,,
03037,岩手県,道の駅だいとう,だいとう,一関市,第62回,2025,https://www.michi-no-eki.jp/stations/views/22682,,
03038,岩手県,道の駅ふなこし,ふなこし,下閉伊郡山田町,第62回,2025,https://www.michi-no-eki.jp/stations/views/22684,,
03039,岩手県,道の駅もりおか渋民,もりおか渋民,盛岡市,第62回,2025,https://www.michi-no-eki.jp/stations/views/22683,,
04014,宮城県,道の駅おおさき,おおさき,大崎市,第50回,2019,https://www.michi-no-eki.jp/stations/views/19935,,
04015,宮城県,道の駅かくだ,かくだ,角田市,第50回,2019,https://www.michi-no-eki.jp/stations/views/19929,,
04016,宮城県,道の駅おながわ,おながわ,牡鹿郡女川町,第54回,2021,https://www.michi-no-eki.jp/stations/views/19965,,
04017,宮城県,道の駅さんさん南三陸,さんさん南三陸,本吉郡南三陸町,第54回,2021,https://www.michi-no-eki.jp/stations/views/19966,,
04018,宮城県,道の駅硯上の里おがつ,硯上の里おがつ,石巻市,第54回,2021,https://www.michi-no-eki.jp/stations/views/19964,,
04019,宮城県,道の駅東松島,東松島,東松島市,第61回,2024,https://www.michi-no-eki.jp/stations/views/22523,,
05034,秋田県,道の駅清水の里・鳥海郷,清水の里・鳥海郷,由利本荘市,第20回,2004,https://www.michi-no-eki.jp/stations/views/18991,,
05035,秋田県,道の駅十和田湖,十和田湖,鹿角郡小坂町,第60回,2024,https://www.michi-no-eki.jp/stations/views/22370,,
06022,山形県,道の駅鳥海,鳥海,飽海郡遊佐町,第12回,1997,https://www.michi-no-eki.jp/stations/views/19007,,
06023,山形県,道の駅もがみ,もがみ,最上町,第59回,2023,https://www.michi-no-eki.jp/stations/views/22267,,
06024,山形県,道の駅やまがた蔵王,やまがた蔵王,山形市,第59回,2023,https://www.michi-no-eki.jp/stations/views/22266,,
06025,山形県,道の駅新庄エコロジーガーデン原蚕の杜,新庄エコロジーガーデン原蚕の杜,新庄市,第62回,2025,https://www.michi-no-eki.jp/stations/views/22685,,
07034,福島県,道の駅なみえ,なみえ,双葉郡浪江町,第52回,2020,https://www.michi-no-eki.jp/stations/views/19945,,
07035,福島県,道の駅ふくしま,ふくしま,福島市,第55回,2021,https://www.michi-no-eki.jp/stations/views/19971,,
07036,福島県,道の駅いわき・ら・ら・ミュウ,いわき・ら・ら・ミュウ,いわき市,第62回,2025,https://www.michi-no-eki.jp/stations/views/22686,,
07037,福島県,道の駅石川,石川,石川町,第64回,2025,,,
08014,茨城県,道の駅グランテラス筑西,グランテラス筑西,筑西市,第51回,2019,http://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000337.html,,
08015,茨城県,道の駅かさま,かさま,笠間市,第55回,2021,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000034.html,,
08016,茨城県,道の駅常総,常総,常総市,第57回,2022,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000356.html,,
09025,栃木県,道の駅たかねざわ 元気あっぷむら,たかねざわ　元気あっぷむら,塩谷郡高根沢町,第51回,2019,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000033.html,,
10033,群馬県,道の駅まえばし赤城,まえばし赤城,前橋市,第57回,2022,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000355.html,,
11021,埼玉県,道の駅べに花の郷おけがわ,べに花の郷おけがわ,桶川市,第61回,2024,,,
12030,千葉県,道の駅グリーンファーム館山,グリーンファーム館山,館山市,第59回,2023,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000361.html,,
14004,神奈川県,道の駅足柄・金太郎のふるさと,足柄・金太郎のふるさと,南足柄市,第52回,2020,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000237.html,,
14005,神奈川県,道の駅湘南ちがさき,湘南ちがさき,茅ヶ崎市,第62回,2025,,,
15040,新潟県,道の駅ちぢみの里おぢや,ちぢみの里おぢや,小千谷市,第5回,1994,https://www.hokuriku-michinoeki.jp/contents/station/?sta=000009,,
15041,新潟県,道の駅あいぽーと佐渡,あいぽーと佐渡,佐渡市,第15回,1999,https://www.hokuriku-michinoeki.jp/contents/station/?sta=000025,,
15042,新潟県,道の駅たがみ,たがみ,南蒲原郡田上町,第52回,2020,https://www.hokuriku-michinoeki.jp/contents/station/?sta=000081,,
15043,新潟県,道の駅ながおか花火館,ながおか花火館,長岡市,第52回,2020,https://www.hokuriku-michinoeki.jp/contents/station/?sta=000082,,
15044,新潟県,道の駅あがの,あがの,阿賀野市,第56回,2022,https://www.hokuriku-michinoeki.jp/contents/station/?sta=000084,,
