station_code,current_name,new_name
01004,道の駅しらぬか恋問,道の駅しらぬか恋問館
01008,道の駅富士見,道の駅えんべつ富士見
01083,白滝パーキングエリア,道の駅しらたき
05028,セリオン_(秋田市),道の駅あきた港
16010,道の駅カモンパーク新湊,道の駅まるごと射水
17013,能登空港,道の駅のと里山空港
19016,富士川クラフトパーク#みのぶ富士川観光センター,道の駅みのぶ
21034,道の駅日本昭和村,道の駅みのかも
21052,道の駅可児ッテ,道の駅可児ッテ「ＣＡＮＩＴＴＥ」
21054,クオーレふれあいの里,道の駅清流白川 クオーレの里
23010,道の駅立田ふれあいの里,道の駅ふれあいの里HASUパーク
24015,伊賀サービスエリア,道の駅いが
28032,南あわじ市ふるさと活性化センター,道の駅福良
30009,うめ振興館,道の駅みなべうめ振興館
30025,橋杭岩,道の駅くしもと橋杭岩
31003,道の駅北条公園,道の駅燕趙園
32005,道の駅瑞穂,道の駅邑南の里
38001,道の駅瀬戸農業公園,道の駅佐田岬半島ミュージアム
43024,石段の郷_佐俣の湯,道の駅美里「佐俣の湯」
45009,道の駅都城,道の駅都城NiQLL
