prefecture_slug,name,address
akita,きさかた自動車学校,にかほ市象潟町字下浜山3-7
akita,仙北自動車学校,大仙市戸地谷字大和田89
akita,八郎潟太平自動車学校,南秋田郡八郎潟町真坂字鳥屋崎33
akita,北日本自動車学校,潟上市天王字北野53-2
akita,大曲中央自動車学校,大仙市花館字萩台378
akita,大曲自動車学校,大仙市大曲丸子町1-1
akita,太平自動車学校,秋田市寺内高野11-1
akita,平鹿自動車学校,横手市平鹿町浅舞字返諏訪204番地
akita,本荘自動車学校,由利本荘市川口字高花98番地1
akita,横手モータースクール,横手市杉目街道下87-7
akita,県北自動車学校,北秋田市綴子字佐戸岱6
akita,秋田モータースクール,秋田市茨島四丁目3-36
akita,秋田北部自動車学校,大館市根下戸新町1番45号
akita,秋田南自動車学校,秋田市仁井田本町6丁目4-23
akita,秋田自動車学校,秋田市八橋鯲沼町9番49号
akita,第二北部自動車学校,鹿角市十和田末広字紀の国平33-17
akita,羽後自動車学校,雄勝郡羽後町杉宮字柏原10-2
akita,能代モータースクール,能代市字下古川布20-4
akita,能代自動車学校,能代市能代町字中川原29-12
