prefecture_slug,name,address
fukushima,タイヘイドライバーズスクール,いわき市平塩字古川1-1
fukushima,ふたば自動車学校,双葉郡浪江町大字高瀬字小高瀬廹198-3
fukushima,マツキドライビングスクール福島飯坂校,福島市飯坂町湯野字洞下1番地
fukushima,会津中央自動車教習所,会津若松市米代2-5-41
fukushima,会津平和自動車学校,河沼郡会津坂下町大字福原字長泥8番地
fukushima,会津自動車学校,会津若松市神指町東城戸247
fukushima,保原自動車学校,伊達市保原町字泉町65
fukushima,北部日本自動車学校,伊達市原島95
fukushima,南湖自動車学校,白河市白坂一里段6-236
fukushima,南部自動車学校,須賀川市北山寺町77
fukushima,原町中央自動車教習所,南相馬市原町区錦町1丁目27
fukushima,喜多方ドライビングスクール,喜多方市大谷地8014-2
fukushima,富久山自動車学校,郡山市富久山町福原字水穴1番地
fukushima,小名浜自動車学校,いわき市小名浜字富岡向147
fukushima,常交自動車学校,いわき市内郷御厩町川向10番地
fukushima,平中央自動車学校,いわき市内郷小島町天ノ田15-2
fukushima,扇町自動車学校,会津若松市一箕町大字亀賀北柳原16
fukushima,昭和ドライバーズカレッジ,郡山市芳賀一丁目3-4
fukushima,本宮自動車学校,安達郡大玉村大山狐森18
fukushima,杉妻自動車学校,福島市清水町字東壇9番地
fukushima,東亜自動車学校,福島市松川町浅川字御荷ヶ沢5
fukushima,湯本自動車学校,いわき市常磐水野谷町千代鶴1番地2
fukushima,田村自動車教習所,田村市船引町船引字山ノ内149-1
fukushima,白河自動車学校,白河市五番丁川原101-5
fukushima,県南自動車学校,白河市東釜子字古峯内98
fukushima,矢吹自動車教習所,西白河郡矢吹町小松358
fukushima,石川自動車教習所,石川郡石川町字屋敷ノ入72
fukushima,福島県東部自動車教習所,相馬市程田潜石54-5
fukushima,福島自動車学校,福島市町庭坂字原中2-51
fukushima,福陽自動車教習所,いわき市錦町上川田19
fukushima,西部自動車学校,郡山市富田町字稲川原40
fukushima,郡山自動車学校,郡山市田村町金屋字マセ口53
fukushima,須賀川ドライビングスクール,岩瀬郡鏡石町蒲ノ沢町353
