prefecture_slug,name,address
gunma,かぶら自動車教習所,藤岡市立石1563
gunma,トヨタドライビングスクール群馬,桐生市境野町7丁目1864-20
gunma,中之条町自動車教習所,吾妻郡中之条町大字伊勢町1571
gunma,伊勢崎自動車教習所,伊勢崎市上諏訪町1499-1
gunma,前橋天川自動車教習所,前橋市天川大島町1065-2
gunma,前橋自動車教習所,前橋市関根町二丁目1番地18
gunma,南渋川自動車教習所,渋川市半田2700
gunma,大渡自動車学校,前橋市総社町総社1164-2
gunma,太田自動車教習所,太田市由良町1193
gunma,柳瀬橋自動車教習所,藤岡市森新田字寺東221-2
gunma,群馬にった自動車教習所,太田市新田市野井町935-1
gunma,群馬県自動車教習所,前橋市江田町448
gunma,西吾妻自動車教習所,吾妻郡長野原町大字応桑735-61
gunma,西毛自動車教習所,富岡市下黒岩849-4
gunma,谷川ドライビングスクール,沼田市薄根町3348
gunma,赤城自動車教習所,伊勢崎市赤堀今井町1-564
gunma,金山自動車教習所,太田市龍舞町5502
gunma,館林自動車教習所,館林市高根町882
gunma,高崎モータースクール,高崎市浜川町1329-1
