prefecture_slug,name,address
ibaraki,つくば自動車学校,つくば市高見原3-16-1
ibaraki,ドライビングスクール那珂,那珂市菅谷1558
ibaraki,ひたちなか自動車学校,ひたちなか市市毛951-1
ibaraki,上筑波自動車学校,つくば市寺具1268-2
ibaraki,北茨城自動車学校,北茨城市中郷町足洗838-2
ibaraki,友部自動車学校,笠間市旭町304-3
ibaraki,取手自動車教習所,つくばみらい市谷井田39
ibaraki,古河第一自動車学校,古河市関戸1758-1
ibaraki,土浦北インター自動車学校,土浦市並木5-5426
ibaraki,土浦自動車学校,土浦市中村南4-1-20
ibaraki,大宮自動車教習所,常陸大宮市下村田2518
ibaraki,学園中央自動車学校,つくば市苅間2006番地
ibaraki,守谷自動車学校,守谷市松並1984番地
ibaraki,岩井自動車学校,坂東市辺田648番地
ibaraki,明野自動車学校,筑西市倉持1224-2
ibaraki,昭和自動車教習所,水戸市千波町1987
ibaraki,潮来自動車教習所,潮来市辻799
ibaraki,矢田部自動車教習所,神栖市矢田部6231
ibaraki,竜ヶ崎自動車教習所,龍ケ崎市馬淵町180
ibaraki,笠間自動車学校,笠間市笠間4187
ibaraki,羽鳥自動車学校,小美玉市羽鳥1484-1
ibaraki,茨城けんなん自動車学校,土浦市真鍋6丁目25-1
ibaraki,茨城県日立自動車学校,日立市金沢町2-9-20
ibaraki,茨城県石岡自動車学校,石岡市東大橋2848
ibaraki,茨城県自動車学校土浦校,稲敷郡阿見町阿見383-2
ibaraki,茨城県自動車学校境校,猿島郡境町1番地
ibaraki,茨城県自動車学校水戸校,水戸市東野町260番地
ibaraki,茨城県西自動車学校,筑西市船玉286
ibaraki,鉾田自動車学校,鉾田市柏熊1001-1
ibaraki,鹿島中央自動車学校,鹿嶋市大字宮中4518
ibaraki,鹿島自動車教習所,神栖市大野原6丁目3番20号
