prefecture_slug,name,address
iwate,STモータースクール,滝沢市巣子169番地3
iwate,STモータースクール南校,盛岡市津志田27地割18
iwate,一関第一自動車学校,一関市真柴字中屋敷70番地14
iwate,一関自動車学校,一関市真柴字川戸17-4
iwate,三陸自動車学校,釜石市桜木町1-4-1
iwate,中央自動車学校,盛岡市西青山2-31-11
iwate,久慈自動車学校,久慈市大川目町2-9-4
iwate,前沢自動車学校,奥州市前沢字河ノ畑175
iwate,北上自動車学校花北校,北上市飯豊24-75-17
iwate,千厩自動車学校,一関市千厩町千厩字中木六30
iwate,大船渡自動車学校,大船渡市立根町字田谷10
iwate,宮古ドライビングスクール,宮古市大字田鎖第12地割25
iwate,岩手中央自動車学校,岩手郡岩手町川口49-3-44
iwate,岩手自動車学校,盛岡市高崩2-5
iwate,平泉ドライビングスクール,西磐井郡平泉町平泉宿21-3
iwate,水沢自動車学校,奥州市水沢大鐘町3丁目1番地
iwate,江刺自動車学校,奥州市江刺愛宕字梁川34-1
iwate,盛岡南ドライビングスクール,盛岡市本宮字林崎1-1
iwate,盛岡自動車学校,盛岡市稲荷町3-9
iwate,第一自動車学校,奥州市水沢秋葉町155番地
iwate,紫波中央自動車学校,紫波郡紫波町二日町西七久保66番1
iwate,花巻自動車学校,花巻市天下田71-1
iwate,遠野ドライビングスクール,遠野市青笹町糠前37地割29-7
iwate,陸前高田ドライビングスクール,陸前高田市竹駒町字相川74-1
iwate,高文自動車学校,花巻市上小舟渡278
