prefecture_slug,name,address
kagoshima,あいら自動車学校,姶良市加治木町木田1396番地5
kagoshima,シブシ昭和自動車学校,志布志市志布志町帖7041
kagoshima,マキオドライビングスクール,阿久根市赤瀬川1505
kagoshima,マジオドライバーズスクール鹿児島校,鹿児島市冷水町32-1
kagoshima,串木野自動車教習所,いちき串木野市西塩田町63-2
kagoshima,出水自動車教習所,出水市上知識町450
kagoshima,加世田自動車学校,南さつま市加世田唐仁原1245
kagoshima,南九州自動車学校,薩摩川内市平佐町4860番地
kagoshima,南日本自動車学校,鹿児島市光山1丁目5番2号
kagoshima,南海自動車学校,枕崎市立神北町496
kagoshima,吉野自動車学校,鹿児島市下田町628
kagoshima,国分隼人自動車学校,霧島市隼人町真孝123
kagoshima,大口自動車学校,伊佐市大口原田1106
kagoshima,奄美自動車学校,奄美市名瀬平田町30-25
kagoshima,徳之島自動車学校,大島郡徳之島町亀津58
kagoshima,志布志自動車学校,志布志市志布志町安楽6349
kagoshima,指宿中央自動車学校,指宿市十町1680番地
kagoshima,玉里自動車学校,鹿児島市下伊敷1-10-2
kagoshima,田上自動車学校,鹿児島市田上4丁目25番1号
kagoshima,知覧高等自動車学校,南九州市知覧町東別府19552
kagoshima,福崎自動車学校,薩摩川内市平佐町3333
kagoshima,種子島自動車学校,西之表市西之表16482
kagoshima,空港自動車学校,霧島市隼人町2352-1
kagoshima,谷山中央自動車学校,鹿児島市上福元町6870
kagoshima,阿久根自動車教習所,阿久根市赤崎155
kagoshima,霧島マキゾノ自動車学校,霧島市牧園町宿窪田1332
kagoshima,鹿屋寿自動車学校,鹿屋市寿町1-13-30
kagoshima,鹿屋自動車学校,鹿屋市今坂町10115
