prefecture_slug,name,address
kumamoto,CAT八代自動車学校,八代市井上町91
kumamoto,KDS菊池自動車学校,菊池市木柑子1427
kumamoto,YDS八代ドライビングスクール,八代市平山新町5338
kumamoto,三陽自動車学校熊本駅田崎校,熊本市西区田崎2丁目1-11
kumamoto,上熊本三陽自動車学校,熊本市西区上熊本3丁目26-3
kumamoto,中央自動車学校,熊本市中央区坪井6丁目10番1号
kumamoto,中球磨モータースクール,球磨郡あさぎり町免田西381
kumamoto,人吉自動車学校,人吉市鶴田町875
kumamoto,城北自動車学校,菊池市泗水町吉富300-39
kumamoto,大洋第二自動車学校,玉名市築地761
kumamoto,大洋自動車学校,玉名市向津留532
kumamoto,大矢野自動車学校,上天草市大矢野町中2443-2
kumamoto,天草自動車学校,天草市亀場町亀川70-4
kumamoto,寺原自動車学校,熊本市中央区壺川2丁目3-78
kumamoto,水俣自動車学校,水俣市山手町1丁目8-1
kumamoto,熊本バス自動車学校,上益城郡御船町木倉215-1
kumamoto,熊本南自動車学校,宇土市松山町2300
kumamoto,牛深自動車学校,天草市久玉町南神鳴子5532
kumamoto,荒尾自動車学園,荒尾市万田946-1
kumamoto,菊陽自動車学校,菊池郡菊陽町大字原水1430
kumamoto,阿蘇自動車学校,阿蘇市一の宮町宮地4507-3
