prefecture_slug,name,address
miyagi,R45・日の出自動車学校,仙台市宮城野区日の出町2丁目1番13号
miyagi,パセオ・ドライビングカレッジ,石巻市鹿又曽波神前118-1
miyagi,中山ドライブスクール,仙台市青葉区荒巻本沢1-10-20
miyagi,仙北自動車学校,大崎市古川稲葉字新堀26
miyagi,仙南自動車学院,柴田郡柴田町大字本船迫字塚田17
miyagi,仙台ドライブスクール,仙台市宮城野区幸町1丁目16-1
miyagi,仙台中央自動車学校,仙台市宮城野区原町4-4-2
miyagi,仙台北自動車学校,仙台市泉区松森字台93-25
miyagi,仙台自動車学校,仙台市太白区大野田三丁目13-12
miyagi,仙台赤門自動車学校,仙台市青葉区川内川前丁61
miyagi,佐沼自動車学校,登米市迫町佐沼字大網4-4
miyagi,利府自動車学校,宮城郡利府町森郷一里塚1
miyagi,加美自動車学校,加美郡加美町字赤塚20
miyagi,北宮城自動車学校,登米市迫町北方字石打坂20-1
miyagi,南仙台自動車学校,仙台市太白区中田6丁目1-1
miyagi,南蔵王自動車学校,白石市福岡長袋字下河原15
miyagi,古川自動車学校,大崎市古川沢田字新原際79-1
miyagi,古川自動車教習センター,大崎市古川鶴ケ埣字新江北25
miyagi,奥羽自動車学校,仙台市泉区八乙女中央3丁目5-1
miyagi,宮交自動車学校,仙台市太白区長嶺4-1
miyagi,宮城自動車学校,仙台市太白区東郡山1丁目10-1
miyagi,富谷自動車学校,富谷市三ノ関膳部沢上11-3
miyagi,岩沼自動車学校,岩沼市阿武隈1丁目37
miyagi,東日本自動車学校,塩竈市月見ヶ丘6-7
miyagi,東部自動車学校,仙台市宮城野区福住町16-44
miyagi,気仙沼中央自動車学校,気仙沼市松崎下金取61番地
miyagi,泉自動車学校,仙台市泉区実沢字新坂沢1
miyagi,涌谷自動車学校,遠田郡涌谷町字北田94
miyagi,石巻中部自動車学校,石巻市門脇字浦屋敷124-1
miyagi,石巻第一自動車学校,石巻市南4丁目10-28
miyagi,石巻自動車学校,石巻市山下町2丁目2-54
miyagi,築館自動車学校,栗原市築館字留場雇田70
miyagi,花壇自動車学校,仙台市青葉区花壇8番7号
miyagi,角田自動車学校,角田市角田字中沢46-33
