prefecture_slug,name,address
nagasaki,あたご自動車学校,長崎市星取1丁目1-28
nagasaki,かんこう自動車学校,諫早市栗面町280
nagasaki,ヒューマンスクール早岐,佐世保市早岐3-12-6
nagasaki,ヒューマンスクール松浦,松浦市調川町下免81-4
nagasaki,五島自動車学校,五島市浜町424番3
nagasaki,佐世保中央自動車学校,佐世保市沖新町5-10
nagasaki,共立自動車学校大野,佐世保市瀬戸越4丁目5番19号
nagasaki,共立自動車学校日野,佐世保市椎木町320番地
nagasaki,共立自動車学校江迎,佐世保市鹿町町深江潟150-2
nagasaki,大塔自動車学校,佐世保市大塔町27番地
nagasaki,島原自動車学校,島原市梅園町丁2870
nagasaki,川棚自動車学校,東彼杵郡川棚町百津郷296-37
nagasaki,新西海自動車学校,西海市西彼町上岳郷1238-3
nagasaki,浦上自動車学校,長崎市赤迫3丁目19-1
nagasaki,諫早自動車学校,諫早市小船越町920-4
nagasaki,長崎自動車学校,長崎市矢上町7-11
nagasaki,雲仙自動車学校,島原市萩原2丁目5248-1
