prefecture_slug,name,address
niigata,つばめ中央自動車学校,燕市杣木3237番地1
niigata,マツキドライビングスクール新潟西しばた校,新発田市西宮内1002番地
niigata,みどり自動車学校,上越市大字三田新田453
niigata,三条中央自動車学校,三条市北入蔵2丁目16番18号
niigata,三条自動車学校,三条市東大崎1丁目18番71号
niigata,上越自動車学校直江津教習所,上越市五智2-12-1
niigata,上越自動車学校高田教習所,上越市山屋敷町90
niigata,中条自動車学校,胎内市高野字茨島249-6
niigata,中越自動車学校,長岡市高島町780番地
niigata,佐渡自動車学校,佐渡市三瀬川366-2
niigata,六日町自動車学校,南魚沼市四十日3056
niigata,十日町自動車学校,十日町市城之古字原1118
niigata,大河津自動車学校,長岡市寺泊竹森1420番地
niigata,小千谷自動車学校,小千谷市大字千谷甲2692-1
niigata,巻中央自動車学校,新潟市西蒲区河井706番地
niigata,新井自動車学校,妙高市柳井田町4丁目10番1号
niigata,新津自動車学校,新潟市秋葉区山谷町2丁目15-29
niigata,新潟中央自動車学校,新潟市中央区鐙2-1-27
niigata,新潟文化自動車学校,新潟市西区青山1丁目1-41
niigata,新潟自動車学校,新潟市東区海老ケ瀬474番地1
niigata,新潟関屋自動車学校,新潟市中央区関屋浜松町22
niigata,新発田自動車学校,新発田市富塚町2-2-32
niigata,東新潟自動車学校,新潟市東区山木戸3-9-1
niigata,柏崎自動車学校,柏崎市茨目1丁目9番10号
niigata,柿崎自動車学校,上越市柿崎区直海浜1567-50
niigata,水原自動車学校,阿賀野市下条20-4
niigata,田上自動車学校,南蒲原郡田上町吉田新田丁202-5
niigata,白根中央自動車学校,新潟市南区上下諏訪木字論地1107番地
niigata,糸魚川自動車学校,糸魚川市大字大野358番地3
niigata,見附自動車学校,見附市昭和町1丁目12番13号
niigata,豊栄自動車学校,新潟市北区葛塚808番地1
niigata,長岡文化自動車学校,長岡市蔵王3-1-1
niigata,関原自動車学校,長岡市関原南4丁目4058
niigata,魚沼中央自動車学校,魚沼市十日町372-1
