prefecture_slug,name,address
wakayama,ソト浜自動車学校,有田市港町839
wakayama,ドライビング・スクールかいなん,海南市且来1382-1
wakayama,マジオドライバーズスクール和歌山校,和歌山市市小路425
wakayama,みなべ自動車学校,日高郡みなべ町芝519番地
wakayama,南海橋本自動車学校,橋本市野88番地
wakayama,和歌山県御坊自動車学校,日高郡美浜町大字吉原958
wakayama,和歌山県紀北自動車学校,橋本市高野口町大野250番地
wakayama,和歌山県自動車学校,和歌山市園部1257
wakayama,塩屋自動車学校,和歌山市塩屋6丁目2-81
wakayama,岩出自動車学院,岩出市中島1008-6
wakayama,新開自動車教習所,橋本市隅田町下兵庫863
wakayama,有田自動車学校,有田郡有田川町明王寺112
wakayama,田辺自動車学校,田辺市新庄町2070-5
wakayama,紀伊風土記の丘カースクール,和歌山市岩橋57-1
wakayama,那智勝浦自動車教習所,東牟婁郡那智勝浦町宇久井1680番地の1
