prefecture_slug,name,address
yamanashi,きょうなん自動車学校,南巨摩郡富士川町最勝寺1538
yamanashi,上野原自動車教習所,上野原市上野原120
yamanashi,南部自動車教習所,南巨摩郡南部町内船8900
yamanashi,塩山自動車教習所,甲州市塩山赤尾1
yamanashi,大月自動車学校,大月市賑岡町畑倉1955
yamanashi,小淵沢自動車教習所,北杜市小淵沢町6907
yamanashi,小笠原自動車教習所,南アルプス市小笠原1523
yamanashi,山梨中央自動車教習所,甲府市横根町194
yamanashi,山梨交通自動車学校,甲府市湯田2-16-25
yamanashi,山梨自動車学校,南アルプス市下高砂847番地
yamanashi,岳麓自動車教習所,富士吉田市上吉田4853-1
yamanashi,湯村自動車学校,甲府市塩部2-2-15
yamanashi,甲府昭和自動車教習所,中巨摩郡昭和町上河東371
yamanashi,都留自動車教習所,都留市法能2493
yamanashi,長坂自動車教習所,北杜市長坂町長坂上条1531-1
yamanashi,韮崎自動車教習所,韮崎市中島2丁目8-73
