prefecture_slug,name,address
hokkaido,大麻ドライビングスクール,江別市大麻北町523番地
hokkaido,江別自動車学校,江別市東野幌232番地1
hokkaido,千歳自動車学校,千歳市真々地2丁目5番2号
hokkaido,恵庭自動車学校,恵庭市黄金町北2丁目1番地の3
hokkaido,北広島自動車学校,北広島市共栄16番地1
hokkaido,新札幌自動車学園,北広島市西の里373番地1
hokkaido,岩見沢自動車学校,岩見沢市鳩が丘2丁目17番26号
hokkaido,美唄自動車学校,美唄市字美唄1443-14
hokkaido,空知自動車学校,滝川市新町4丁目7番30号
hokkaido,砂川自動車学校,砂川市東5条北8丁目1番1号
hokkaido,栗山自動車学校,夕張郡栗山町桜丘2丁目226番地
hokkaido,小樽自動車学校,小樽市新光2丁目20番33号
hokkaido,小樽中央自動車学校,小樽市オタモイ3丁目6番1号
hokkaido,倶知安自動車学校,虻田郡倶知安町字比羅夫70番地
hokkaido,余市自動車学校,余市郡余市町富沢町6丁目12番地
hokkaido,北海道クミアイ自動車学校,旭川市永山北3条8丁目182番地の1
hokkaido,北海道モビリティスクール,旭川市東鷹栖1条1丁目635番地
hokkaido,道北自動車学校,士別市東2条北9丁目2番地1
hokkaido,名寄自動車学校,名寄市字徳田231番地4
hokkaido,函館中央自動車学校,函館市西桔梗町515番地の1
hokkaido,道南自動車学校,函館市金堀町5番18号
hokkaido,函館自動車学校,函館市川原町19番20号
hokkaido,亀田自動車学校,函館市桔梗1丁目26番7号
hokkaido,森自動車学校,茅部郡森町字鳥崎町186
hokkaido,八雲自動車学校,二海郡八雲町内浦町208番地
hokkaido,厚沢部ドライバーズスクール,檜山郡厚沢部町緑町51番地
hokkaido,桑園自動車学校,札幌市中央区北8条西14丁目28番地
hokkaido,札幌篠路自動車学校,札幌市北区篠路1条8丁目6番30号
hokkaido,麻生自動車学校,札幌市北区北36条西5丁目1-1
hokkaido,中央バス自動車学校,札幌市北区新琴似8条17丁目1番1号
hokkaido,北海道中央自動車学校,札幌市東区北25条東1丁目1番17号
hokkaido,白石中央自動車学園,札幌市白石区本郷通2丁目南5番33号
hokkaido,札幌インター自動車学校,札幌市白石区米里2条3丁目5番1号
hokkaido,北海道自動車学校,札幌市豊平区中の島2条6丁目2番4号
hokkaido,札幌東自動車学校,札幌市豊平区月寒東2条10丁目4番27号
hokkaido,美しが丘自動車学校,札幌市清田区平岡1条4丁目1番1号
hokkaido,藻南自動車学校,札幌市南区川沿10条2丁目7-20
hokkaido,安協真駒内自動車学園,札幌市南区真駒内本町1丁目4番1号
hokkaido,鉄工団地自動車学園,札幌市西区発寒16条13丁目1番10号
hokkaido,手稲自動車学校,札幌市手稲区星置2条1丁目13番1号
hokkaido,野付牛自動車学校,北見市末広町163番地75
hokkaido,網走自動車学校,網走市字潮見323番地の26
hokkaido,紋別自動車学校,紋別市渚滑町3丁目40番地
hokkaido,美幌自動車学校,網走郡美幌町稲美255番地の1
hokkaido,遠軽自動車学校,紋別郡遠軽町2条通南1丁目2-4
hokkaido,苫小牧中野自動車学校,苫小牧市新中野町2丁目18番11号
hokkaido,苫小牧ドライビングスクール,苫小牧市拓勇東町8丁目6番68号
hokkaido,室蘭総合自動車学校,登別市美園町4丁目23番地2
hokkaido,伊達自動車学校,伊達市館山町37番地8
hokkaido,萩野自動車学校,白老郡白老町石山26番地の5
hokkaido,富川自動車学校,沙流郡日高町富川西1丁目5番4号
hokkaido,浦河自動車学校,浦河郡浦河町東町うしお2丁目4-11
hokkaido,静内総合自動車学校,日高郡新ひだか町静内木場町2丁目3番50号
hokkaido,愛国自動車学校,釧路市愛国東1丁目29番14号
hokkaido,釧路星ヶ浦自動車学校,釧路市大楽毛南2丁目2番76号
hokkaido,釧路自動車学校,釧路市芦野5丁目12番1号
hokkaido,根室相互自動車学校,根室市穂香102番地
hokkaido,中標津町自動車学校,標津郡中標津町丸山2丁目26番地
hokkaido,帯広自動車学校,帯広市緑ケ丘9丁目2番地
hokkaido,帯広第一自動車学校,帯広市稲田町東1線12番地
hokkaido,新得モータースクール,上川郡新得町本通北6丁目17番地
hokkaido,芽室自動車学校,河西郡芽室町東3条10丁目1番地8
hokkaido,幕別自動車学校,中川郡幕別町字千住474番地
