prefecture_slug,name,address
osaka,泉佐野自動車教習所,泉佐野市新安松２丁目６−２２
osaka,大阪サヤマ自動車学院,大阪狭山市岩室2丁目185番地の1
osaka,門真自動車教習所,門真市東田町14番10号
osaka,関西自動車学院,貝塚市麻生中５３５
osaka,岸和田自動車教習所,岸和田市磯上町4-23-23
osaka,光明池自動車教習所,和泉市和田町401-1
osaka,住の江ドライビングスクール,大阪市住之江区柴谷1-2-38
osaka,泉南自動車教習所,泉南市樽井 5-43-3
osaka,富田林モータースクール,富田林市寿町３丁目７−７
osaka,ネヤガワドライビングスクール,寝屋川市寝屋南1-1-1
osaka,阪奈自動車教習所,大東市平野屋新町2-2
osaka,阪和鳳自動車学校,堺市西区鶴田町30-1
osaka,守口自動車教習所,守口市佐太東町１丁目３番１２号
osaka,八戸ノ里ドライビングスクール,東大阪市御厨南1-4-38
osaka,八尾柏原ドライビングスクール,八尾市志紀町南4丁目211番地
osaka,関目自動車学校,大阪市鶴見区緑3-2-2
osaka,大阪みなとドライビングスクール,大阪市港区磯路3-9-15
osaka,近鉄自動車学校,松原市東新町1-17-36
osaka,枚方自動車教習所,枚方市招提東町1-1-1
osaka,茨木ドライビングスクール,茨木市桑田町20-57
osaka,高槻自動車教習所,高槻市日向町1-3
osaka,大阪香里自動車教習所,寝屋川市木屋町 13-5
