prefecture_slug,name,address
saitama,飛鳥ドライビングカレッジ川口,川口市川口2-17-5
saitama,レインボーモータースクール,和光市下新倉5-27-1
saitama,うらわ自動車教習所,さいたま市南区文蔵3-11-9
saitama,浦和中央自動車教習所,さいたま市緑区大崎９１０番地
saitama,埼玉県自動車学校,さいたま市北区植竹町2-2
saitama,ファインモータースクール上尾,上尾市平塚596-5
saitama,大宮自動車教習所,さいたま市見沼区新右ェ門新田111番地
saitama,ファインモータースクール西大宮,さいたま市西区高木1635
saitama,アンモータースクール,さいたま市西区二ツ宮797−1
saitama,東松山自動車学校,東松山市箭弓町2-6-42
saitama,川越自動車学校,川越市野田町2丁目20番地50
saitama,飯能自動車学校,飯能市岩沢958
saitama,越生自動車学校,入間郡越生町上野東1-3-18
saitama,東武かすみ自動車教習所,川越市霞ヶ関東2-5-1
saitama,古谷自動車教習所,川越市大字古谷上6058
saitama,狭山モータースクール,狭山市南入曽914-10
saitama,所沢中央自動車教習所,所沢市大字久米936-1
saitama,三共自動車教習所,川越市中台2丁目1番地2
saitama,セイコーモータースクール,ふじみ野市市沢3-7-61
saitama,鶴ヶ島自動車教習所,鶴ヶ島市高倉1249
saitama,坂戸自動車教習所,坂戸市溝端町１番地（3-209）
saitama,埼玉自動車学校,熊谷市見晴町330
saitama,かごはら自動車学校,熊谷市拾六間726番地
saitama,秩父中央自動車学校,秩父市大野原1453番地
saitama,秩父自動車学校,秩父郡横瀬町横瀬6214
saitama,埼玉本庄自動車学校,本庄市寿３丁目１−４３
saitama,鴻巣自動車教習所,鴻巣市人形3-2-97
saitama,深谷自動車教習所,深谷市東方4343
saitama,上武自動車教習所,本庄市下野堂601
saitama,寄居武蔵野自動車教習所,大里郡寄居町大字用土5393番地10
saitama,羽生モータースクール,羽生市大字砂山80番地
saitama,久喜自動車学校,久喜市久喜東6-4-44
saitama,埼北自動車学校,加須市花崎北1丁目21番地1
saitama,春日部自動車教習所,春日部市小渕2095番地
saitama,行田自動車教習所,行田市持田2313‐5
saitama,東武こしがや自動車教習所,越谷市蒲生寿町6-82
saitama,東埼玉自動車教習所,越谷市下間久里174-1
saitama,八潮自動車教習所,八潮市大字木曽根511
saitama,三郷自動車教習所,三郷市花和田385番地
saitama,いわつき自動車学校,さいたま市岩槻区大字慈恩寺880
