prefecture_slug,name,address
shizuoka,静岡県自動車学校松崎校,賀茂郡松崎町岩科南側17
shizuoka,伊東自動車学校,伊東市岡1374-1
shizuoka,田方自動車学校,田方郡函南町間宮489-1
shizuoka,三島中央自動車学校,三島市加茂川町13-6
shizuoka,黄瀬川自動車学校,沼津市大岡1122-1
shizuoka,静岡県自動車学校沼津校,沼津市東椎路419-1
shizuoka,東部自動車学校,沼津市寿町17-1
shizuoka,御殿場自動車学校,御殿場市中畑531-16
shizuoka,富士センチュリーモータースクール,裾野市須山2837-1
shizuoka,富士センチュリーモータースクール御殿場校,裾野市須山2837-1
shizuoka,裾野中央自動車学校,裾野市伊豆島田539
shizuoka,昭和自動車学校,富士市比奈字赫夜姫2220-1
shizuoka,吉原自動車学校,富士市伝法906-3
shizuoka,静岡県富士自動車学校,富士市柚木207-1
shizuoka,富士宮自動車学校,富士宮市源道寺町10
shizuoka,スルガ自動車学校,静岡市清水区興津中町522-1
shizuoka,静鉄自動車学校,静岡市清水区馬走北5-1
shizuoka,古庄自動車学校,静岡市葵区古庄3-11-15
shizuoka,静岡県自動車学校,静岡市葵区宮前町71-1
shizuoka,中田自動車学校,静岡市駿河区中野新田282
shizuoka,遠鉄中部自動車学校,焼津市柳新屋771
shizuoka,東名自動車学校,藤枝市上当間731
shizuoka,マジオドライバーズスクール藤枝校,藤枝市内瀬戸115-2
shizuoka,島田自動車学校,島田市道悦2-2-1
shizuoka,榛南自動車学校,牧之原市細江1731
shizuoka,静岡菊川自動車学校,菊川市加茂2199-1
shizuoka,掛川自動車学校,掛川市大池655
shizuoka,ヤマハテクニカルセンター,掛川市富部28
shizuoka,遠鉄磐田自動車学校,磐田市見付5015
shizuoka,綜合自動車学校,浜松市中央区和田町700
shizuoka,上池自動車学校,浜松市中央区城北1-19-8
shizuoka,静岡県自動車学校浜松校,浜松市中央区和地山2-38-1
shizuoka,遠鉄自動車学校,浜松市中央区小池町1552
shizuoka,静岡県セイブ自動車学校,浜松市中央区大人見町2510
shizuoka,ハマＩＮ自動車学校,湖西市新居町中之郷2350
