prefecture,prefecture_slug,city,name,official_url,futsuu_nirin,oogata_nirin,source_url,verified_at
秋田県,akita,にかほ市,きさかた自動車学校,https://kisakata-drivingschool.com/,1,1,https://www.police.pref.akita.lg.jp/menkyo/other/p1600,2026-08-24
秋田県,akita,北秋田市,県北自動車学校,https://dr-takanosu.com/,1,1,https://www.police.pref.akita.lg.jp/menkyo/other/p1600,2026-08-23
秋田県,akita,南秋田郡八郎潟町,八郎潟太平自動車学校,https://www.t-dr.com/hachirogata/,1,1,https://www.police.pref.akita.lg.jp/menkyo/other/p1600,2026-08-23
秋田県,akita,大仙市,仙北自動車学校,https://www.senboku-ds.jp/,1,1,https://www.police.pref.akita.lg.jp/menkyo/other/p1600,2026-08-23
秋田県,akita,大仙市,大曲中央自動車学校,https://www.ohmagari-c-ds.com/,1,1,https://www.police.pref.akita.lg.jp/menkyo/other/p1600,2026-08-23
秋田県,akita,大仙市,大曲自動車学校,https://www.omagari-ds.com/,1,0,https://www.police.pref.akita.lg.jp/menkyo/other/p1600,2026-08-23
秋田県,akita,大館市,秋田北部自動車学校,https://www.akita-hokubu.com/hokubu/,1,1,https://www.police.pref.akita.lg.jp/menkyo/other/p1600,2026-08-23
秋田県,akita,横手市,平鹿自動車学校,https://yokote-hiraka-ds.com/,1,1,https://www.police.pref.akita.lg.jp/menkyo/other/p1600,2026-08-23
秋田県,akita,横手市,横手モータースクール,https://www.yokotemotor.com/,1,0,https://www.police.pref.akita.lg.jp/menkyo/other/p1600,2026-08-23
秋田県,akita,潟上市,北日本自動車学校,https://www.kitanihon-ds.com/,1,1,https://www.police.pref.akita.lg.jp/menkyo/other/p1600,2026-08-23
秋田県,akita,由利本荘市,本荘自動車学校,https://www.h-syakou.com/,1,1,https://www.police.pref.akita.lg.jp/menkyo/other/p1600,2026-08-23
秋田県,akita,能代市,能代モータースクール,https://www.akita-hokubu.com/noshiro/,1,0,https://www.police.pref.akita.lg.jp/menkyo/other/p1600,2026-08-23
秋田県,akita,能代市,能代自動車学校,https://www.noshiro-ds.com/,1,1,https://www.police.pref.akita.lg.jp/menkyo/other/p1600,2026-08-23
秋田県,akita,秋田市,太平自動車学校,https://www.t-dr.com/,1,1,https://www.police.pref.akita.lg.jp/menkyo/other/p1600,2026-08-23
秋田県,akita,秋田市,秋田モータースクール,https://aki-mo.jp/,1,1,https://www.police.pref.akita.lg.jp/menkyo/other/p1600,2026-08-23
秋田県,akita,秋田市,秋田南自動車学校,https://www.akitaminami-ds.com/,1,1,https://www.police.pref.akita.lg.jp/menkyo/other/p1600,2026-08-23
秋田県,akita,秋田市,秋田自動車学校,https://www.akita-ds.com/,1,0,https://www.police.pref.akita.lg.jp/menkyo/other/p1600,2026-08-23
秋田県,akita,雄勝郡羽後町,羽後自動車学校,https://www.ugodrive.co.jp/,1,1,https://www.police.pref.akita.lg.jp/menkyo/other/p1600,2026-08-23
秋田県,akita,鹿角市,第二北部自動車学校,https://www.akita-hokubu.com/nihoku/,1,0,https://www.police.pref.akita.lg.jp/menkyo/other/p1600,2026-08-23
