prefecture,prefecture_slug,city,name,official_url,futsuu_nirin,oogata_nirin,source_url,verified_at
長崎県,nagasaki,五島市,五島自動車学校,https://ds-gotoo.com/,1,0,https://www.police.pref.nagasaki.jp/police/kotsu-anzen/toukeikankei/shoshin-jiko/,2026-08-23
長崎県,nagasaki,佐世保市,ヒューマンスクール早岐,https://humanschool.co.jp/school-haiki,1,1,https://www.police.pref.nagasaki.jp/police/kotsu-anzen/toukeikankei/shoshin-jiko/,2026-08-23
長崎県,nagasaki,佐世保市,共立自動車学校江迎,https://sasebo-kds.main.jp/emukae/,1,0,https://www.police.pref.nagasaki.jp/police/kotsu-anzen/toukeikankei/shoshin-jiko/,2026-08-23
長崎県,nagasaki,佐世保市,共立自動車学校大野,https://kdsnagasaki.wixsite.com/ohno,1,0,https://www.police.pref.nagasaki.jp/police/kotsu-anzen/toukeikankei/shoshin-jiko/,2026-08-24
長崎県,nagasaki,佐世保市,共立自動車学校日野,https://sasebo-kds.main.jp/hino/,1,1,https://www.police.pref.nagasaki.jp/police/kotsu-anzen/toukeikankei/shoshin-jiko/,2026-08-23
長崎県,nagasaki,佐世保市,佐世保中央自動車学校,https://chuou-ds.jp/,1,1,https://www.police.pref.nagasaki.jp/police/kotsu-anzen/toukeikankei/shoshin-jiko/,2026-08-23
長崎県,nagasaki,佐世保市,大塔自動車学校,https://www.daito.gr.jp/,1,1,https://www.police.pref.nagasaki.jp/police/kotsu-anzen/toukeikankei/shoshin-jiko/,2026-08-23
長崎県,nagasaki,島原市,島原自動車学校,https://shimabara.co.jp/,1,1,https://www.police.pref.nagasaki.jp/police/kotsu-anzen/toukeikankei/shoshin-jiko/,2026-08-23
長崎県,nagasaki,島原市,雲仙自動車学校,https://www.unzen-ds.jp/,1,1,https://www.police.pref.nagasaki.jp/police/kotsu-anzen/toukeikankei/shoshin-jiko/,2026-08-23
長崎県,nagasaki,東彼杵郡川棚町,川棚自動車学校,https://kawatana-ds.co.jp/,1,0,https://www.police.pref.nagasaki.jp/police/kotsu-anzen/toukeikankei/shoshin-jiko/,2026-08-23
長崎県,nagasaki,松浦市,ヒューマンスクール松浦,https://humanschool.co.jp/school-matsuura,1,0,https://www.police.pref.nagasaki.jp/police/kotsu-anzen/toukeikankei/shoshin-jiko/,2026-08-23
長崎県,nagasaki,西海市,新西海自動車学校,http://www.shinsaikai.com/,1,0,https://www.police.pref.nagasaki.jp/police/kotsu-anzen/toukeikankei/shoshin-jiko/,2026-08-24
長崎県,nagasaki,諫早市,かんこう自動車学校,https://www.kanko-ds.me/,1,1,https://www.police.pref.nagasaki.jp/police/kotsu-anzen/toukeikankei/shoshin-jiko/,2026-08-23
長崎県,nagasaki,諫早市,諫早自動車学校,https://www.isahaya-ds.jp/,1,1,https://www.police.pref.nagasaki.jp/police/kotsu-anzen/toukeikankei/shoshin-jiko/,2026-08-24
長崎県,nagasaki,長崎市,あたご自動車学校,https://www.ds-atago.com/,1,1,https://www.police.pref.nagasaki.jp/police/kotsu-anzen/toukeikankei/shoshin-jiko/,2026-08-24
長崎県,nagasaki,長崎市,浦上自動車学校,https://u-uds.co.jp/,1,1,https://www.police.pref.nagasaki.jp/police/kotsu-anzen/toukeikankei/shoshin-jiko/,2026-08-23
長崎県,nagasaki,長崎市,長崎自動車学校,https://school-n.com/,1,1,https://www.police.pref.nagasaki.jp/police/kotsu-anzen/toukeikankei/shoshin-jiko/,2026-08-23
