prefecture,prefecture_slug,city,name,official_url,futsuu_nirin,oogata_nirin,source_url,verified_at,status,verify_method
静岡県,shizuoka,賀茂郡松崎町,静岡県自動車学校松崎校,https://www.kenji-matsuzaki.com/,1,1,http://www.shizuoka-shiteikyo.or.jp/school/toubu.html,2026-07-29,open,machine
静岡県,shizuoka,伊東市,伊東自動車学校,http://itoh-ds.jp/,1,1,http://www.shizuoka-shiteikyo.or.jp/school/toubu.html,2026-07-29,open,machine
静岡県,shizuoka,田方郡函南町,田方自動車学校,https://www.tagata-ds.com/,1,1,http://www.shizuoka-shiteikyo.or.jp/school/toubu.html,2026-07-29,open,machine
静岡県,shizuoka,三島市,三島中央自動車学校,http://www.mcds.co.jp/,1,1,http://www.shizuoka-shiteikyo.or.jp/school/toubu.html,2026-07-29,open,machine
静岡県,shizuoka,沼津市,黄瀬川自動車学校,https://www.kisegawa.co.jp/,1,1,http://www.shizuoka-shiteikyo.or.jp/school/toubu.html,2026-07-29,open,machine
静岡県,shizuoka,沼津市,静岡県自動車学校沼津校,http://www.kenji-numazu.com/,1,1,http://www.shizuoka-shiteikyo.or.jp/school/toubu.html,2026-07-29,open,machine
静岡県,shizuoka,沼津市,東部自動車学校,http://www.tou-bu.co.jp/,1,1,http://www.shizuoka-shiteikyo.or.jp/school/toubu.html,2026-07-29,open,machine
静岡県,shizuoka,御殿場市,御殿場自動車学校,https://gotenba-ds.com/,1,1,http://www.shizuoka-shiteikyo.or.jp/school/toubu.html,2026-07-29,open,machine
静岡県,shizuoka,裾野市,富士センチュリーモータースクール,https://fuji.driver.co.jp/,1,1,http://www.shizuoka-shiteikyo.or.jp/school/toubu.html,2026-07-29,open,machine
静岡県,shizuoka,裾野市,富士センチュリーモータースクール御殿場校,https://gotenba.driver.co.jp/,1,1,http://www.shizuoka-shiteikyo.or.jp/school/toubu.html,2026-07-29,open,machine
静岡県,shizuoka,裾野市,裾野中央自動車学校,https://www.susochu-ds.co.jp/,1,1,http://www.shizuoka-shiteikyo.or.jp/school/toubu.html,2026-07-29,open,machine
静岡県,shizuoka,富士市,昭和自動車学校,https://www.showa-ds.jp/,1,1,http://www.shizuoka-shiteikyo.or.jp/school/toubu.html,2026-07-29,open,machine
静岡県,shizuoka,富士市,吉原自動車学校,https://yoshiwara-ds.jp/,1,1,http://www.shizuoka-shiteikyo.or.jp/school/toubu.html,2026-07-29,open,machine
静岡県,shizuoka,富士市,静岡県富士自動車学校,https://fuji-ds.jp/,1,1,http://www.shizuoka-shiteikyo.or.jp/school/toubu.html,2026-07-29,open,machine
静岡県,shizuoka,富士宮市,富士宮自動車学校,http://www.mitsuya-r.com/fujinomiya/index.html,1,1,http://www.shizuoka-shiteikyo.or.jp/school/toubu.html,2026-07-29,open,machine
