prefecture,prefecture_slug,city,name,official_url,futsuu_nirin,oogata_nirin,source_url,verified_at
栃木県,tochigi,さくら市,さくら那須モータースクール,https://www.sn-ms.jp/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,下野市,栃交自動車学校,https://www.tochiko-ds.jp/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,下都賀郡壬生町,壬生自動車学校,https://mibu-ds.com/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,佐野市,佐野中央自動車教習所,https://sanochu.com/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,佐野市,安佐自動車教習所,https://ansa.jp/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,小山市,友井ドライバーライセンスOYAMA,http://www.tvoyama.ne.jp/oyamachuou/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-24
栃木県,tochigi,小山市,小山自動車教習所,https://oyama-ds.com/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,小山市,間々田自動車教習所,https://www.mamada-ds.com/,1,0,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,宇都宮市,トーブモータースクール,https://658-0731.jp/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,宇都宮市,宇都宮中央自動車教習所,http://www.u-c.co.jp/00.html,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-24
栃木県,tochigi,宇都宮市,宇都宮南自動車教習所,https://miyakyo.menkira.jp/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,宇都宮市,宇都宮岡本台自動車学校,https://www.okamotodai-ds.jp/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,宇都宮市,宇都宮戸祭自動車教習所,https://www.tomatsuri-ds.co.jp/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,宇都宮市,宇都宮清原自動車学校,https://www.kiyohara-ds.com/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,宇都宮市,栃木県中部自動車学校,https://t-chubu.jp/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,宇都宮市,栃木県共立自動車学校,https://www.tochigi-kyoritsu-ds.co.jp/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,宇都宮市,栃木県自動車学校,https://www.tochigiken-ds.com/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,日光市,今市自動車教習所,https://www.imaichi-dc.com/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,日光市,日光自動車学校,https://www.nikkods.co.jp/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,栃木市,栃木県南自動車学校,https://www.tochigi-kennan-ds.com/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,栃木市,栃木自動車教習所,https://tochigi-ds.com/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,矢板市,矢板自動車学校,https://yaita-ds.jp/,1,0,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,真岡市,真岡自動車教習所,https://www.mds-ds.com/,1,0,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,足利市,東足利自動車教習所,http://www.h-ashijikyo.jp/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,那須塩原市,カーアカデミー那須高原,https://www.carac-ds.jp/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,那須塩原市,栃木県西那須野自動車学校,https://www.tochigiken-nishi-ds.com/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,那須塩原市,那須自動車学校,https://www.nasu-ds.jp/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,那須塩原市,黒磯中央自動車学校,https://www.driverschool.jp/,1,0,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,那須塩原市,黒磯南自動車教習所,https://kurokyo.menkira.jp/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,鹿沼市,鹿沼自動車教習所,https://www.kanuma-ds.co.jp/,1,1,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
栃木県,tochigi,大田原市,栃木県大田原自動車教習所,http://ohtawara-ds.com/,1,0,https://www.pref.tochigi.lg.jp/keisatu/n27/koutuu/kyousyu.html,2026-08-23
