prefecture,prefecture_slug,city,name,official_url,futsuu_nirin,oogata_nirin,source_url,verified_at
和歌山県,wakayama,和歌山市,マジオドライバーズスクール和歌山校,https://www.magionet.co.jp/wakayama/,1,1,https://www.police.pref.wakayama.lg.jp/04_toukei/jikosyaritsu/index.html,2026-08-23
和歌山県,wakayama,和歌山市,和歌山県自動車学校,https://www.kenji-ds.jp/,1,0,https://www.police.pref.wakayama.lg.jp/04_toukei/jikosyaritsu/index.html,2026-08-23
和歌山県,wakayama,和歌山市,塩屋自動車学校,https://www.shioya-ds.jp/,1,1,https://www.police.pref.wakayama.lg.jp/04_toukei/jikosyaritsu/index.html,2026-08-23
和歌山県,wakayama,和歌山市,紀伊風土記の丘カースクール,https://www.kfdo.co.jp/,1,1,https://www.police.pref.wakayama.lg.jp/04_toukei/jikosyaritsu/index.html,2026-08-23
和歌山県,wakayama,岩出市,岩出自動車学院,https://www.iwagaku.net/,1,1,https://www.police.pref.wakayama.lg.jp/04_toukei/jikosyaritsu/index.html,2026-08-25
和歌山県,wakayama,日高郡みなべ町,みなべ自動車学校,http://www.naxnet.or.jp/~kinan/,1,1,https://www.police.pref.wakayama.lg.jp/04_toukei/jikosyaritsu/index.html,2026-08-24
和歌山県,wakayama,日高郡美浜町,和歌山県御坊自動車学校,https://www.gobo-ds.jp/,1,0,https://www.police.pref.wakayama.lg.jp/04_toukei/jikosyaritsu/index.html,2026-08-23
和歌山県,wakayama,有田市,ソト浜自動車学校,https://www.sotohama-ds.jp/,1,0,https://www.police.pref.wakayama.lg.jp/04_toukei/jikosyaritsu/index.html,2026-08-23
和歌山県,wakayama,有田郡有田川町,有田自動車学校,https://www.aritads.com/,1,1,https://www.police.pref.wakayama.lg.jp/04_toukei/jikosyaritsu/index.html,2026-08-25
和歌山県,wakayama,東牟婁郡那智勝浦町,那智勝浦自動車教習所,https://www.nachikatsuura-ds.jp/,1,0,https://www.police.pref.wakayama.lg.jp/04_toukei/jikosyaritsu/index.html,2026-08-23
和歌山県,wakayama,橋本市,南海橋本自動車学校,https://hashimoto-car-school.com/,1,0,https://www.police.pref.wakayama.lg.jp/04_toukei/jikosyaritsu/index.html,2026-08-23
和歌山県,wakayama,橋本市,和歌山県紀北自動車学校,https://kihokuds.com/,1,1,https://www.police.pref.wakayama.lg.jp/04_toukei/jikosyaritsu/index.html,2026-08-23
和歌山県,wakayama,橋本市,新開自動車教習所,https://www.shinkai-ds.com/,1,0,https://www.police.pref.wakayama.lg.jp/04_toukei/jikosyaritsu/index.html,2026-08-23
和歌山県,wakayama,海南市,ドライビング・スクールかいなん,https://kainan-ds.com/,1,0,https://www.police.pref.wakayama.lg.jp/04_toukei/jikosyaritsu/index.html,2026-08-24
和歌山県,wakayama,田辺市,田辺自動車学校,https://www.tanabe-ds.co.jp/,1,0,https://www.police.pref.wakayama.lg.jp/04_toukei/jikosyaritsu/index.html,2026-08-23
